track_name,artist_name,artist_count,released_year,released_month,released_day,streams,in_spotify_playlists,in_spotify_charts,bpm,key_signature,mode_type,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent
"Demasiadas Mujeres","C. Tangana",1,2020,10,8,2226,0,339473453,36,2,11,0,14,126,0,0,67,37
"Something Just Like This","The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2147483647,336,188,"2,692",3,30,103,0,0,61,47
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2147483647,315,159,"2,179",0,44,95,0,0,75,64
O.O,NMIXX,1,2022,2,22,290,0,135444283,9,66,10,0,0,200,0,0,39,28
"Somebody That I Used To Know","Gotye, Kimbra",2,2011,1,1,42798,0,1457139296,217,136,"6,508",1,0,129,0,0,86,75
"Tom's Diner","AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197,15,48,50,0,3,98,0,0,68,33
"First Class","Jack Harlow",1,2022,4,8,8737,0,694525298,163,32,137,15,12,107,0,0,91,32
"Plan A","Paulo Londra",1,2022,3,23,1105,0,240661097,32,0,19,0,0,174,0,0,58,56
"Fuera del mercado","Danny Ocean",1,2022,2,17,2499,21,421365166,68,24,43,1,0,92,0,0,45,27
"X ï¿½ï¿½LTIMA","Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291,55,3,32,0,0,90,0,0,81,59
"When You're Gone","Shawn Mendes",1,2022,3,31,2092,0,255120451,75,11,44,0,14,147,0,0,60,58
"In My Head","Lil Tjay",1,2022,4,1,1185,0,190981339,21,0,31,0,0,143,0,0,68,41
"Wait a Minute!",Willow,1,2015,1,11,11985,0,924193303,79,80,250,3,10,101,0,0,76,63
"LOVE DIVE",IVE,1,2022,4,5,753,8,305771063,28,124,13,0,1,118,0,0,70,54
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485,49,17,30,0,0,98,0,0,83,63
Chance,"Paulo Londra",1,2022,4,6,225,0,89566512,11,0,7,0,0,138,0,0,72,22
"Cool for the Summer","Demi Lovato",1,2015,1,1,9243,0,677389855,155,5,577,0,6,114,0,0,59,30
"psychofreak (feat. WILLOW)","Camila Cabello, Willow",2,2022,4,7,918,0,75476209,24,0,52,0,0,180,0,0,63,45
"Angel Baby","Troye Sivan",1,2021,9,9,1959,9,408843328,52,25,32,0,10,145,0,0,56,41
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,187772591,26,3,39,0,0,115,0,0,78,63
"Si Quieren Frontear","De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385,14,0,11,0,0,82,0,0,79,48
"Right On","Lil Baby",1,2022,4,8,1116,0,101780047,31,9,15,0,1,166,0,0,70,22
"Me Arrepentï¿","Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354,12,2,4,0,0,92,0,0,86,91
"That's Hilarious","Charlie Puth",1,2022,4,8,686,2,146363130,11,6,12,0,15,108,0,0,71,55
"Soy El Unico","Yahritza Y Su Esencia",1,2022,3,25,226,0,126443991,5,0,4,0,1,84,0,0,71,63
RUMBATï¿½,"Daddy Yankee",1,2022,3,25,1264,0,157990698,20,4,52,0,1,95,0,0,69,90
"sentaDONA (Remix) s2","Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831,32,0,49,0,0,135,0,0,93,77
